#MOBILE
Vnum	1203
Room	10429
Position 12
Flags 67371011
EndMobile

#MOBILE
Vnum	1204
Room	10429
Position 12
Flags 67108867
EndMobile

#MOBILE
Vnum	1209
Room	1208
Position 12
Flags 65
EndMobile

#MOBILE
Vnum	1209
Room	1208
Position 12
Flags 65
EndMobile

#MOBILE
Vnum	1209
Room	1223
Position 12
Flags 65
EndMobile

#MOBILE
Vnum	1208
Room	1210
Position 12
Flags 65539
#OBJECT
Vnum         21067
Level        100
Values       0 0 24 0 0 0
End

EndMobile

#MOBILE
Vnum	100098
Room	1223
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	1210
Room	853
Position 12
Flags 65537
EndMobile

#MOBILE
Vnum	1209
Room	1200
Position 12
Flags 65
EndMobile

#MOBILE
Vnum	2
Room	6
Position 12
Flags 2097155
EndMobile

#MOBILE
Vnum	100
Room	1
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10340
Room	10303
Position 12
Flags 1027
EndMobile

#MOBILE
Vnum	10333
Room	10305
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10394
Room	10306
Position 12
Flags 1048579
EndMobile

#MOBILE
Vnum	10354
Room	10320
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10353
Room	10321
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10350
Room	10324
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10335
Room	10326
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10336
Room	10327
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10337
Room	10328
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10338
Room	10329
Position 12
Flags 3
EndMobile

#MOBILE
Vnum	10339
Room	10330
Position 12
Flags 67
EndMobile

#MOBILE
Vnum	10326
Room	10331
Position 12
Flags 67
#OBJECT
Vnum         10306
Level        1
Values       3 2 0 0 0 0
End

#OBJECT
Vnum         10319
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10326
Room	10331
Position 12
Flags 67
#OBJECT
Vnum         10306
Level        1
Values       3 2 0 0 0 0
End

#OBJECT
Vnum         10319
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10312
Room	10333
Position 12
Flags 35
#OBJECT
Vnum         10304
Level        1
Values       3 3 0 0 0 0
End

#OBJECT
Vnum         10305
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10312
Room	10333
Position 12
Flags 35
#OBJECT
Vnum         10304
Level        1
Values       3 3 0 0 0 0
End

#OBJECT
Vnum         10305
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10319
Room	10334
Position 12
Flags 35
#OBJECT
Vnum         10300
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10301
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10319
Room	10334
Position 12
Flags 35
#OBJECT
Vnum         10300
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10301
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10306
Room	10335
Position 12
Flags 67
#OBJECT
Vnum         10302
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10303
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10306
Room	10335
Position 12
Flags 67
#OBJECT
Vnum         10302
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10303
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10313
Room	10336
Position 12
Flags 35
#OBJECT
Vnum         10304
Level        1
Values       3 3 0 0 0 0
End

#OBJECT
Vnum         10305
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10313
Room	10336
Position 12
Flags 35
#OBJECT
Vnum         10304
Level        1
Values       3 3 0 0 0 0
End

#OBJECT
Vnum         10305
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10327
Room	10337
Position 12
Flags 67
#OBJECT
Vnum         10306
Level        1
Values       3 2 0 0 0 0
End

#OBJECT
Vnum         10319
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10327
Room	10337
Position 12
Flags 67
#OBJECT
Vnum         10306
Level        1
Values       3 2 0 0 0 0
End

#OBJECT
Vnum         10319
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10320
Room	10338
Position 12
Flags 35
#OBJECT
Vnum         10300
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10301
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10320
Room	10338
Position 12
Flags 35
#OBJECT
Vnum         10300
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10301
Level        1
Values       3 3 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10307
Room	10339
Position 12
Flags 67
#OBJECT
Vnum         10302
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10303
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10307
Room	10339
Position 12
Flags 67
#OBJECT
Vnum         10302
Level        1
Values       2 2 0 0 0 0
End

#OBJECT
Vnum         10303
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10314
Room	10340
Position 12
Flags 35
#OBJECT
Vnum         10304
Level        1
Values       3 3 0 0 0 0
End

#OBJECT
Vnum         10305
Level        1
Values       2 2 0 0 0 0
End

EndMobile

#MOBILE
Vnum	10314
Room	10340
Position 12
Flags 35
#OBJECT
Vnum         10304
Level        1
Values       3 3 0 0 0 0
End

#OBJECT
Vnum         10305
Level        1
Values       2 2 0 0 0 0
End

EndMobile

